datetime,contentID,username,person_count,age,gender,proximity,emotions,actions,gazes,audio_reactions,imageurl,audiourl,derived_emotions,attention
2021-12-19 08:30:10,c51fc7ba-3ea1-4085-a04c-b7962e11c0f9,kruegerrobin,3,52,male,6,"[[0.2489704543, 'fear'], [0.0673310569, 'neutral'], [0.06149509400000001, 'angry'], [0.0466723264, 'sad'], [0.0450730707, 'happy'], [0.5304579977, 'surprise']]",talking,looking_straight,LaughOutLoud,roberson_knight.info,duran-huff_quinn.com,surprise,1
2021-12-19 08:30:15,c51fc7ba-3ea1-4085-a04c-b7962e11c0f9,bbaird,1,24,female,6,"[[0.1008412598, 'happy'], [0.09229433620000001, 'fear'], [0.0376602851, 'neutral'], [0.3518756341, 'angry'], [0.0487930569, 'surprise'], [0.36853542780000004, 'sad']]",walking,looking_straight,cheer,vincent_ware.com,murphy_garrett.com,sad,1
2021-12-19 08:30:20,c51fc7ba-3ea1-4085-a04c-b7962e11c0f9,francisco00,2,58,female,10,"[[0.053431987300000004, 'fear'], [0.5405871125, 'angry'], [0.20433957290000002, 'sad'], [0.0669424639, 'happy'], [0.0099305876, 'surprise'], [0.1247682757, 'neutral']]",talking,looking_away,LaughOutLoud,turner_murphy-tucker.com,padilla_gomez.com,angry,0
2021-12-19 08:30:25,c51fc7ba-3ea1-4085-a04c-b7962e11c0f9,matthew33,1,28,male,10,"[[0.0320804623, 'happy'], [0.643508384, 'angry'], [0.040041182, 'sad'], [0.1421244037, 'surprise'], [0.0481812473, 'neutral'], [0.0940643206, 'fear']]",walking,looking_straight,cheer,shepherd_cook.info,hill-dudley_figueroa.info,angry,1
2021-12-19 08:30:30,c51fc7ba-3ea1-4085-a04c-b7962e11c0f9,courtney04,4,46,female,8,"[[0.38917833100000004, 'surprise'], [0.056930861000000006, 'angry'], [0.28930424450000003, 'neutral'], [0.002666593, 'happy'], [0.1089119823, 'sad'], [0.1530079882, 'fear']]",walking,looking_straight,LaughOutLoud,west-long_garcia.com,meyer_atkinson-brown.com,surprise,1
2021-12-19 08:30:35,c51fc7ba-3ea1-4085-a04c-b7962e11c0f9,gardnerdestiny,1,27,male,6,"[[0.1420913939, 'happy'], [0.5202658565, 'sad'], [0.0200924995, 'neutral'], [0.2732372905, 'fear'], [0.0117224433, 'surprise'], [0.032590516300000004, 'angry']]",talking,looking_away,cheer,schroeder-orozco_hopkins.com,hubbard_banks.com,sad,0
2021-12-19 08:30:40,c51fc7ba-3ea1-4085-a04c-b7962e11c0f9,krista89,1,76,female,9,"[[0.19289341670000001, 'fear'], [0.21004390280000002, 'surprise'], [0.2785439634, 'sad'], [0.0109325416, 'happy'], [0.0713025142, 'angry'], [0.2362836613, 'neutral']]",sitting,looking_away,LaughOutLoud,brown_griffin.com,glover-freeman_green.com,sad,0
2021-12-19 08:30:45,c51fc7ba-3ea1-4085-a04c-b7962e11c0f9,whernandez,1,85,male,8,"[[0.1570586089, 'neutral'], [0.1517526521, 'happy'], [0.23402301860000002, 'angry'], [0.2361365222, 'fear'], [0.1970270421, 'surprise'], [0.0240021561, 'sad']]",dancing,looking_away,scream,oneill-allen_rodriguez.info,lowe_stewart.org,fear,0
2021-12-19 08:30:50,c51fc7ba-3ea1-4085-a04c-b7962e11c0f9,amberjohnson,2,77,male,7,"[[0.0753234035, 'fear'], [0.0311429725, 'happy'], [0.0454360253, 'sad'], [0.14851102500000002, 'surprise'], [0.5516470295, 'neutral'], [0.14793954410000001, 'angry']]",dancing,looking_straight,cheer,robles_hinton.com,lee-ross_turner-stewart.biz,neutral,1
2021-12-19 08:30:55,c51fc7ba-3ea1-4085-a04c-b7962e11c0f9,joshua47,1,66,male,7,"[[0.21255274540000002, 'fear'], [0.1264501603, 'sad'], [0.2113011635, 'angry'], [0.3235265411, 'neutral'], [0.0442481179, 'surprise'], [0.08192127190000001, 'happy']]",walking,looking_away,LaughOutLoud,holland_hernandez.org,harmon-wood_aguilar.org,neutral,0
2021-12-19 08:31:00,c51fc7ba-3ea1-4085-a04c-b7962e11c0f9,brandypadilla,4,39,female,9,"[[0.09881383810000001, 'sad'], [0.42201193130000003, 'happy'], [0.0332185078, 'surprise'], [0.0025831154, 'fear'], [0.4040102524, 'neutral'], [0.039362355, 'angry']]",talking,looking_away,LaughOutLoud,peterson-montoya_taylor.biz,mccoy_hodge-yates.org,happy,0
